Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
A Novel Parallel Control Method for Optimal Consensus of Nonlinear Multiagent Systems,S. Jiao; Q. Wei; F. -Y. Wang,"Institute of Systems Engineering, The Macau University of Science and Technology, Macau, China; Institute of Systems Engineering, The Macau University of Science and Technology, Macau, China; Institute of Systems Engineering, The Macau University of Science and Technology, Macau, China",IEEE Transactions on Cybernetics,9 Oct 2024,2024,54.0,10.0,5912,5925,"This work concentrates on the initial introduction of parallel control to investigate an optimal consensus control strategy for continuous-time nonlinear multiagent systems (MASs) via adaptive dynamic programming (ADP). First, the control input is integrated into the feedback system for parallel control, facilitating an augmented system’s optimal consensus control with an appropriate augmented performance index function to be established, which is identical to the original system’s suboptimal control with a conventional performance index. Second, the feasibility of the proposed control scheme is evaluated based on the policy iteration algorithm, and the convergence of the algorithm is demonstrated. Then, an online learning algorithm becomes available to implement the ADP-based optimal parallel consensus control protocol without prior knowledge of the system. The Lyapunov approach is employed to indicate that the signals are convergent. Ultimately, the experimental data support the theoretical results.",2168-2275,,10.1109/TCYB.2024.3403690,"National Key Research and Development Program of China(grant numbers:2021YFE0206100); National Natural Science Foundation of China(grant numbers:62073321,62273036); Science and Technology Development Fund, Macau, SAR(grant numbers:FDCT-22-009-MISE,0060/2021/A2,0015/2020/AMJ); State Key Laboratory of Rail Traffic Control and Safety(grant numbers:RCS2021K005); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10552313,Adaptive dynamic programming (ADP);coupled Hamilton-Jacobi;optimal consensus control;parallel control,Consensus control;Optimal control;Performance analysis;Heuristic algorithms;Multi-agent systems;Dynamic programming,,6.0,,50.0,IEEE,10 Jun 2024,,,IEEE,IEEE Journals
The potential of multi-agent systems in virtual manufacturing enterprises,C. Roche; S. Fitouri; R. Glardon; M. Pouly,"LGIS-Scientific Park, Savoie University, Le Bourget-du-lac, France; LGPP Laboratory for production management and processes, Swiss Federal Institute of Technology, Lausanne, Switzerland; LGPP Laboratory for production management and processes, Swiss Federal Institute of Technology, Lausanne, Switzerland; LGPP Laboratory for production management and processes, Swiss Federal Institute of Technology, Lausanne, Switzerland",Proceedings Ninth International Workshop on Database and Expert Systems Applications (Cat. No.98EX130),6 Aug 2002,1998,,,913,918,"Manufacturers operate today in a constantly moving market, characterized by short product life cycles and increased demand for flexibility. In the same way, the ability to respond rapidly to changing market opportunities by quickly providing the required combination of design and manufacturing capabilities becomes a key issue to maintain competitively. In this context, the concept of virtual enterprise takes an increasing importance in supporting future business engagements and fulfilling technology requirements. As short-term consortia of companies to address fast changing opportunities, the virtual enterprise may be modeled by a multi-agent system representation. Such an approach allows modeling the heterogeneous actors of the real world in terms of agents, focusing on communication and collaboration between them. The feasibility of the multi-agent approach has already been demonstrated in the manufacturing and financial fields. This paper shows how a multi agent approach may be used in the modeling of virtual enterprises. An example of an agent, the ""controller agent"", will be described in details. The multi-agent system used, called PVS98, has been developed in the framework of an Eureka project. It relies on a KQML-like architecture and on an enterprise ontology.",,0-8186-8353-8,10.1109/DEXA.1998.707514,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=707514,,Multiagent systems;Virtual manufacturing;Virtual enterprises;Market opportunities;Companies;Electrical capacitance tomography;Laboratories;Production management;Manufacturing processes;Collaboration,,4.0,,20.0,IEEE,6 Aug 2002,,,IEEE,IEEE Conferences
The distributed simulation of RoboCup Rescue version 1,T. Koto; I. Takeuchi,"University of Electro-Communications, Chofu, Tokyo, Japan; University of Electro-Communications, Chofu, Tokyo, Japan",Proceedings of the 41st SICE Annual Conference. SICE 2002.,29 Apr 2003,2002,2.0,,871,874 vol.2,"Integrated disaster simulation systems are important tools to decrease the damage from various disasters. The paper describes the version 1 of the RoboCup Rescue simulation system, which integrates sub-simulators such as a seismic intensity simulator and a fire simulator, and divides, for scalability, the simulated world into a number of local regions, each of which is simulated by one computer in a cluster.",,0-7803-7631-5,10.1109/SICE.2002.1195274,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1195274,,Computational modeling;Computer simulation;Fires;Kernel;Traffic control;Scalability;Discrete event simulation;Urban planning;Multiagent systems;Virtual prototyping,,1.0,,5.0,,29 Apr 2003,,,IEEE,IEEE Conferences
Multiagent trust management of web services: the “asynchronous computing environment profile unification methodology” (acepum),K. A. Abuosba,"Ted Rogers School of Information Technology Management, Ryerson University, Toronto, Canada",2015 World Congress on Internet Security (WorldCIS),18 Feb 2016,2015,,,55,59,"Web services are considered as a major challenge for the information technology industry as they emerge from integration of several technologies adaptable within different architectures and platforms. Web Services are deployed within heterogeneous distributed environments; specifically B-2-B interactions are considered as critical-mission processes and services, the main goal for these processes is to provide a secured inter-organizational computing environment. Ion the web, we deploy web services on the web for the purpose of achieving reusability, interoperability, and standards utilization. Web services are based on interactions of peers where loosely coupled systems interact in anonymous computing environments. The environments of web services are considered more vulnerable to faults and incidents than tightly coupled services. In this paper; I introduce a token-based methodology which is utilized for the purpose of achieving trust between end points of communication. I introduce the Asynchronous Computing Environment Profile Unification Methodology (ACEPUM) as a vulnerability reduction methodology which audits the environment profile variables; this approach introduces several levels of trust management routines that addresses different aspects of security requirements.",,978-1-908320-50-6,10.1109/WorldCIS.2015.7359413,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7359413,trust management;SOA;web services;methodology,Web services;Collaboration;Protocols;Authorization;Classification algorithms,,,,19.0,,18 Feb 2016,,,IEEE,IEEE Conferences
Can Artificial Life Emerge in a Network of Interacting Agents?,V. K. Murthy; E. V. Krishnamurthy,"R.M.LT., School of Business Technology, Melbourne, Victoria, Australia; 2Computer Sciences Laboratory, The Australian National University, Canberra, Australia",2006 IEEE International Conference on Fuzzy Systems,11 Sep 2006,2006,,,106,113,"An interacting multi-agent system in a network can behave like a nature-inspired smart system (SS) exhibiting the four salient properties of an artificial life system (ALS): (i) Collective, coordinated and efficient (ii) Self-organization and emergence (iii) Power law scaling or scale invariance under emergence (iv) Adaptive, fault tolerant and resilient against damage. We explain how these basic properties can arise among agents through random enabling, inhibiting, preferential attachment and growth of a multiagent system. However,the quantitative understanding of a Smart system with an arbitrary interactive topology is extremely difficult. Hence we cannot design a general purpose programmable Smart system. However, for specific applications and a predefined static interactive topology among the agents, the quantitative parameters can be obtained through simulation to build a specific SS.",1098-7584,0-7803-9488-7,10.1109/FUZZY.2006.1681702,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1681702,,Intelligent networks;Australia;Topology;Physics;Entropy;Laboratories;Fault tolerant systems;Multiagent systems;Condition monitoring;Intelligent sensors,,1.0,,31.0,IEEE,11 Sep 2006,,,IEEE,IEEE Conferences
Grid as Human's Assistant: A Logical Solution Provider for Physical Problems,U. Farooq; W. Khalil,"Department of Computer Science, University of Peshawar, Pakistan; Department of Computer Science, University of Peshawar, Peshawar, Pakistan",International Symposium on Collaborative Technologies and Systems (CTS'06),26 Jun 2006,2006,,,312,317,"This paper presents theoretical foundations of a new vision regarding virtual organizations. The proposed vision exploits the concept of virtual organizations for the solution of human centered problems; mostly exist and solved in physical world in physical manner. The idea facilitates a user by providing complete logical solution (s) for an initiated problem. The idea pinpoints the need for the participation of different business organizations in a problem solution; as total requirements might not be available in a single organization or a user might not favor all resources of a single organization. This paper presents a contemporary view for the creation of virtual organization over grid infrastructure to assist humans in the solution of hard problems in terms of time, selection and integration. Proposed context of virtual organization believes in the construction of MAS environment. The proposed idea is equipped with a layered architecture for the construction of virtual organizations; a point missing in conventional MAS environments.",,0-9785699-0-3,10.1109/CTS.2006.45,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1644151,Virtual Organization;OGSA;(Open Grid Services Architecture);OGSI (Open;Grid Services Infrastructure);WS-Resource;Framework;Agent;MAS (Multiagent System),Grid computing;Collaboration;Resource management;Computer science;Humans;Computer architecture;Power engineering computing;Scheduling;Geographic Information Systems;Educational institutions,,1.0,,25.0,IEEE,26 Jun 2006,,,IEEE,IEEE Conferences
Application of the multi-agent approach in responsive manufacturing modeling,Zhou Zhihong; Wang Changbo; Yin Hong,"Department of Information, Science&Electronics Enaineerinp, University of Zhejiang, Hongzhou, China; State Key Laboratory of CAD&CG, University of Zhejiang, Hangzhou, China; Institute of Systems Engineering, Wuhan University of China, Wuhan, China",Fifth World Congress on Intelligent Control and Automation (IEEE Cat. No.04EX788),18 Oct 2004,2004,3.0,,2785,2789 Vol.3,"This paper describes a responsive manufacturing system based on a heterogeneous hierarchy of agents of three types that reflect the managerial structure of manufacturing enterprises. The system is not only capable of responding rapidly to dynamic changes to fulfil customer needs but enable the utilization of manufacturing resources to be dynamically optimized. In addition, to improve the system efficiency, this paper also introduces a called qua-base acquaintance model which might facilitate the multi-agent internal communication.",,0-7803-8273-0,10.1109/WCICA.2004.1342107,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1342107,,Virtual manufacturing;Manufacturing systems;Pulp manufacturing;Multiagent systems;Collaboration;Production planning;Autonomous agents;Job shop scheduling;Optimal scheduling;Power system modeling,,,,8.0,IEEE,18 Oct 2004,,,IEEE,IEEE Conferences
Service-Oriented E-Learning Architecture Using Web Service-Based Intelligent Agents,N. Hussain; M. K. Khan,"Department of Computer Science, PAF-KIET, Karachi, Pakistan; Department of Computer Science, PAF-KIET, Karachi, Pakistan",2005 International Conference on Information and Communication Technologies,27 Feb 2006,2005,,,137,143,"There is no doubt that e-learning has found its way in our lives. From the very start to the Ph.D. level one can find e-learning courses every where and all the big names are supporting it. One thing that is needed to be understood is that e-learning is basically the integration of various technologies. Now this technology is maturing and we can find different standards for e-learning .New technologies such as agents and web services are promising better results. In this paper we have proposed an e-learning architecture that is dependent on multi-agent systems and web services. These communication technologies will make the architecture more robust, scalable and efficient.",,0-7803-9421-6,10.1109/ICICT.2005.1598570,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1598570,,Electronic learning;Service oriented architecture;Intelligent agent;Web services;Internet;Web sites;Simple object access protocol;Packaging;Data models;Multiagent systems,,11.0,,9.0,IEEE,27 Feb 2006,,,IEEE,IEEE Conferences
Animating groups of Socially Intelligent Agents,F. Grimaldo; M. Lozano; F. Barber; G. Vigueras,"Computer Science Department, University of Valencia, Valencia, Spain; Computer Science Department, University of Valencia, Valencia, Spain; Computer Science Department, University of Valencia, Valencia, Spain; Computer Science Department, University of Valencia, Valencia, Spain",2007 International Conference on Cyberworlds (CW'07),4 Dec 2007,2007,,,136,143,"This paper presents a multi-agent framework oriented to animate groups of synthetic humans that properly balance task-oriented and social behaviors. We mainly focus on the social model designed for BDI-agents to display socially acceptable decisions. This model is based on an auction mechanism used to coordinate the group activities derived from the character's roles. The model also introduces reciprocity relations between the members of a group and allows the agents to include social tasks to produce realistic behavioral animations. Furthermore, a conversational library provides the set of plans to manage social interactions and to animate from simple chats to more complex negotiations. The framework has been successfully tested in a 3D dynamic environment while simulation a virtual university bar, where groups of waiters and customers can interact and finally display complex social behaviors (e.g. task passing, reciprocity, planned meetings...).",,978-0-7695-3005-5,10.1109/CW.2007.20,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4390913,,Animation;Intelligent agent;Humans;Multiagent systems;Testing;Three dimensional displays;Decision making;Computer science;Computer displays;Libraries,,4.0,,25.0,IEEE,4 Dec 2007,,,IEEE,IEEE Conferences
Development of crop-simulation multiagent system for smart digital twin of plant,P. Skobelev; A. Tabachinskiy; E. Simonova; O. Goryanin,"Institute of Automation and Information Technologies, Samara State Technical University, Samara, Russia; Institute of Automation and Information Technologies, Samara State Technical University, Samara, Russia; Institute of Informatics and Cybernetics, Samara National Research University, Samara, Russia; Digital Twin laboratory, Samara Federal Research Center, Samara, Russia",2022 VIII International Conference on Information Technology and Nanotechnology (ITNT),18 Aug 2022,2022,,,1,8,"The paper discusses development of the smart digital twin of plant (SDTP) as an intelligent cyber-physical system that includes an open knowledge base and a multi-agent subsystem for planning and discrete-event modeling of plant growth and development, as well as forecasting crop parameters based on the knowledge of agronomists, which can be supplemented with sensors and plant growth management mechanisms. SDTP functions should provide continuous adaptive adjustment of the plant development plan for each specific field, depending on the changes in external conditions, so that the discrepancy between each digital crop models and the real crops is minimal. SDTP is designed to systematize and formalize expert empirical data of agronomists on the stages of plant growth and development and yield forecast. Currently, SDTP is implemented as a web service that integrates various data sources from the fields and plants, and provides users with a possibility to track the state of real plants, predict and simulate plant condition.",,978-1-6654-8571-5,10.1109/ITNT55410.2022.9848748,Russian Science Foundation(grant numbers:22-41-08003); ,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9848748,precision farming;plant cultivation;digital twin;multi-agent technology;knowledge base;ontology,Adaptation models;Web services;Soft sensors;Crops;Predictive models;Sensor systems;Digital twins,,8.0,,23.0,IEEE,18 Aug 2022,,,IEEE,IEEE Conferences
A hybrid dynamical systems approach to intelligent low-level navigation,E. Aaron; H. Sun; F. Ivancic; D. Metaxas,"Department of Computer and Information Science, University of Pennsylvania, Australia; CBIM Center, Division of Computer and Information Sciences, Rutgers University, USA; Department of Computer and Information Science, University of Pennsylvania, Australia; CBIM Center, Division of Computer and Information Sciences, Rutgers University, USA",Proceedings of Computer Animation 2002 (CA 2002),7 Aug 2002,2002,,,154,163,"Animated characters may exhibit several kinds of dynamic intelligence when performing low-level navigation (i.e., navigation on a local perceptual scale): they decide among different modes of behavior selectively discriminate entities in the world around them, perform obstacle avoidance, etc. In this paper we present a hybrid dynamical system model of low-level navigation that accounts for the above-mentioned kinds of intelligence. In so doing, the model illustrates general ideas about how a hybrid systems perspective can influence and simplify such reactive/behavioral modeling for multi-agent systems. In addition, we directly employed our formal hybrid system model to generate animations that illustrate our navigation strategies. Overall, our results suggest that hierarchical hybrid systems may provide a natural framework for modeling elements of intelligent animated actors.",1087-4844,0-7695-1594-0,10.1109/CA.2002.1017525,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1017525,,Hybrid intelligent systems;Navigation;Animation;Sun;Information science;Multiagent systems;Hybrid power systems;Computational modeling;Intelligent agent,,7.0,1.0,29.0,IEEE,7 Aug 2002,,,IEEE,IEEE Conferences
Reputation-Based Trust Network Modelling and Simplification in Multiagent-Based E-Commerce Systems,Z. Gan; Q. Ding; V. Varadharajan,"College of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; College of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Department of Computing, Macquarie University, Sydney, NSW, Australia",2009 Fifth International Conference on Next Generation Web Services Practices,28 Dec 2009,2009,,,60,67,"In this paper, we present a description model of a trust network graph (TNG)-for multi-agent-based e-commerce systems, which is similar to the relationship network formed among people's transaction activities in the real-world. The method assumes that a multi-agent system in a domain constitutes a community and so the trust network is modelled by the means of a graph in the community. Several notations and regulations are defined in the description model of TNG. In order to sweep out redundancy information in the TNG and reduce the complexity of the trust computation, we propose the principles and the processes of simplification, the definition and the selection algorithm of optimized path for recommendation propagation (OPRP) in terms of the trust commonsense in people's daily life. The examples in this paper show that TNG can describe the complex trust relationships in multiagent e-commerce systems and help simplify the algorithms of the trust evaluation.",,978-0-7695-3821-1,10.1109/NWeSP.2009.13,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5361608,Reputation;Trust Network Graph;Mobile;Agent;E-commerce,Authentication;Computer networks;Social network services;Unified modeling language;Next generation networking;Web services;Gallium nitride;Educational institutions;Multiagent systems;Electronic commerce,,2.0,,18.0,IEEE,28 Dec 2009,,,IEEE,IEEE Conferences
Invariant Ellipsoids Method for Homogeneous Leader-Following Consensus Control,S. Wang; H. Duan; M. Li; A. Polyakov; G. Zheng,"State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; INRIA, University of Lille, Lille, France; INRIA, University of Lille, Lille, France; INRIA, University of Lille, Lille, France",IEEE Transactions on Cybernetics,6 Mar 2025,2025,55.0,3.0,1323,1331,"The invariant ellipsoid methodology focuses on minimizing the invariant/attractive set for a linear control system subjects to bounded external disturbances. In this note, the invariant ellipsoid methodology is adapted to multiagent systems (MASs) by leveraging the generalized homogeneous control. A necessary and sufficient condition for the optimal rejection of external disturbances using a homogeneous control protocol is presented. Compared to linear control protocols, the generalized homogeneous approach yields faster convergence and enhanced accuracy. Theoretical results are validated by the numerical simulations of the multiagent system comprised of unicycle mobile robots (UMRs).",2168-2275,,10.1109/TCYB.2025.3532779,"National Natural Science Foundation of China(grant numbers:62350048,U24B20156,T2121003,U20B2071,62403025,ZZKF2024-3-1); Fundamental Research Funds for the Central Universities, Beihang World Top University Cooperation Program and National Key Laboratory of Autonomous Intelligent Unmanned Systems; ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10879125,Generalized homogeneity;invariant ellipsoid;multiagent system (MAS);unicycle mobile robots (UMRs),Ellipsoids;Vectors;Laplace equations;Eigenvalues and eigenfunctions;Multi-agent systems;Directed graphs;Mobile robots;Electronic mail;Consensus control;Virtual reality,,,,30.0,IEEE,10 Feb 2025,,,IEEE,IEEE Journals
Experimental validation of a decentralized control law for multi-vehicle collective motion,D. Benedettelli; N. Ceccarelli; A. Garulli; A. Giannitrapani,"Dipartimento di Ingegneria dellInformazione, Università di Siena, Italy; Dipartimento di Ingegneria dellInformazione, Università di Siena, Italy; Dipartimento di Ingegneria dellInformazione, Università di Siena, Italy; Dipartimento di Ingegneria dellInformazione, Università di Siena, Italy",2007 IEEE/RSJ International Conference on Intelligent Robots and Systems,10 Dec 2007,2007,,,4170,4175,"The paper presents the results of experimental tests carried out to validate the performance of a decentralized control law, for the collective circular motion of a team of nonholonomic vehicles. The considered control strategy ensures global asymptotic stability in the single-vehicle case and local asymptotic stability in the multi-vehicle scenario. The main purpose of this work is to verify these theoretical properties in a real-world scenario. As a side contribution, a low-cost experimental setup is presented, based on the LEGO Mindstorms technology. The setup features good scalability, it is versatile enough to be adopted for the evaluation of different control strategies, and it exhibits several issues to be faced in real- world applications.",2153-0866,978-1-4244-0911-2,10.1109/IROS.2007.4399269,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4399269,,Distributed control;Vehicles;Asymptotic stability;Multiagent systems;Motion control;Intelligent robots;USA Councils;System testing;Scalability,,3.0,5.0,15.0,IEEE,10 Dec 2007,,,IEEE,IEEE Conferences
Emerging Cooperation With Minimal Effort: Rewarding Over Mimicking,G. N. Yannakakis; J. Levine; J. Hallam,"Mærsk Mc-Kinney Møller Institute for Production Technology, University of Southern Denmark, Odense, Denmark; Department of Computer and Information Sciences, University of Strathclyde, Glasgow, UK; Mærsk Mc-Kinney Møller Institute for Production Technology, University of Southern Denmark, Odense, Denmark",IEEE Transactions on Evolutionary Computation,4 Jun 2007,2007,11.0,3.0,382,396,"This paper compares supervised and unsupervised learning mechanisms for the emergence of cooperative multiagent spatial coordination using a top-down approach. By observing the global performance of a group of homogeneous agents-supported by a nonglobal knowledge of their environment-we attempt to extract information about the minimum size of the agent neurocontroller and the type of learning mechanism that collectively generate high-performing and robust behaviors with minimal computational effort. Consequently, a methodology for obtaining controllers of minimal size is introduced and a comparative study between supervised and unsupervised learning mechanisms for the generation of successful collective behaviors is presented. We have developed a prototype simulated world for our studies. This case study is primarily a computer games inspired world but its main features are also biologically plausible. The two specific tasks that the agents are tested in are the competing strategies of obstacle-avoidance and target-achievement. We demonstrate that cooperative behavior among agents, which is supported only by limited communication, appears to be necessary for the problem's efficient solution and that learning by rewarding the behavior of agent groups constitutes a more efficient and computationally preferred generic approach than supervised learning approaches in such complex multiagent worlds",1941-0026,,10.1109/TEVC.2006.882429,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4220689,Artificial world;genetic algorithms (GAs);machine learning;multiagent;spatial coordination,Unsupervised learning;Data mining;Neurocontrollers;Learning systems;Robustness;High performance computing;Size control;Virtual prototyping;Biological system modeling;Computational modeling,,8.0,,52.0,IEEE,4 Jun 2007,,,IEEE,IEEE Journals
Evaluation and design of online cooperative feedback mechanisms for reputation management,Ming Fan; Yong Tan; A. B. Whinston,"University of Washington Business School, Seattle, WA, USA; University of Washington Business School, Seattle, WA, USA; Center for Research in Electronic Commerce, University of Technology, Austin, TX, USA",IEEE Transactions on Knowledge and Data Engineering,10 Jan 2005,2005,17.0,2.0,244,254,This research evaluates and analyzes existing mechanisms of online reputation systems based on cooperative feedbacks of past transaction information. We find existing popular feedback systems do not provide sustained incentives for sellers to behave honestly over time. We propose a new design of reputation system based on exponential smoothing. This mechanism is shown to be more robust compared to the existing systems. We relax the assumption of a static product value and have implemented a two-level exponential smoothing policy to process and aggregate reputation information. The simulation results show that the policy can serve as a sustained incentive mechanism for the seller.,1558-2191,,10.1109/TKDE.2005.26,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1377175,Index Terms- Electronic commerce;online trust;reputation systems;exponential smoothing.,Feedback;Internet;Smoothing methods;Aggregates;Business;Multiagent systems;Costs;Information analysis;Robustness;Uncertainty,,85.0,3.0,23.0,IEEE,10 Jan 2005,,,IEEE,IEEE Journals
"The evolution of swarm grammars- growing trees, crafting art, and bottom-up design",S. Von Mammen; C. Jacob,"University of Calgary, Calgary, AB, CA; University of Calgary, CANADA",IEEE Computational Intelligence Magazine,4 Aug 2009,2009,4.0,3.0,10,19,"We presented swarm grammars as an extension of Lindenmayer systems. Instead of applying a single ('turtle') agent to convert linear strings into 3D structures, we use a swarm of agents ""which navigate in 3D space and-as a side effect-place structural building blocks into their environment. The swarm grammars are used to specify how the setup of agent types changes over time. Additional agent parameters determine the agents' behaviors and their interaction dynamics. Both the grammar rules and the agent parameters are evolvable and can change over time-either automatically at replication and collision events among the agents, or triggered by external 'tinkering' from a supervising breeder. When swarm grammars are applied to concrete problems, constraints on the developmental processes as ""well as on the emerging structures may provide the basis for an automatic evolutionary algorithm.",1556-6048,,10.1109/MCI.2009.933096,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5190930,,Art;Environmental factors;Multiagent systems;Organisms;Embryo;Jacobian matrices;Buildings;Biological system modeling;Neural networks;Bridges,,19.0,,69.0,IEEE,4 Aug 2009,,,IEEE,IEEE Magazines
FlockStream: A Bio-Inspired Algorithm for Clustering Evolving Data Streams,A. Forestiero; C. Pizzuti; G. Spezzano,"Institute for High Performance Computing and Networking, ICAR-CNR, Cosenza, Italy; Institute for High Performance Computing and Networking, ICAR-CNR, Cosenza, Italy; Institute for High Performance Computing and Networking, ICAR-CNR, Cosenza, Italy",2009 21st IEEE International Conference on Tools with Artificial Intelligence,28 Dec 2009,2009,,,1,8,"Existing density-based data stream clustering algorithms use a two-phase scheme approach consisting of an online phase, in which raw data is processed to gather summary statistics, and an offline phase that generates the clusters by using the summary data. In this paper we propose a data stream clustering method based on a multi-agent system that uses a decentralized bottom-up self-organizing strategy to group similar data points. Data points are associated with agents and deployed onto a 2D space, to work simultaneously by applying a heuristic strategy based on a bio-inspired model, known as flocking model. Agents move onto the space for a fixed time and, when they encounter other agents into a predefined visibility range, they can decide to form a flock if they are similar. Flocks can join to form swarms of similar groups. This strategy allows to merge the two phases of density-based approaches and thus to avoid the offline cluster computation, since a swarm represents a cluster. Experimental results show the capability of the bio-inspired approach to obtain very good results on real and synthetic data sets.",2375-0197,978-1-4244-5619-2,10.1109/ICTAI.2009.60,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5364942,,Clustering algorithms;Statistics;Artificial intelligence;High performance computing;Clustering methods;Multiagent systems;Credit cards;Telephony;Biosensors;Data mining,,19.0,,14.0,IEEE,28 Dec 2009,,,IEEE,IEEE Conferences
Semantic shared space-based complex tasks allocation method for massive MAS,Z. Brahmi; M. M. Gammoudi,"URSIIVA Research Unit, Tunisia; High School of Statistics and Information Analysis of Tunis, Tunisia",2009 2nd IEEE International Conference on Computer Science and Information Technology,11 Sep 2009,2009,,,428,434,"Task allocation is still a fundamental problem in multi-agents system (MAS). It allows coalition formation of agents in order to cooperate together to perform a complex task. In general, the task allocation process includes two steps: i) finding the set of agents that can, potentially, participate to task allocation process, ii) computing the optimal allocation to execute the given task. In this work further attention is given for the first step. Indeed, in the context of massive MAS, characterized by dynamic, heterogeneous and a large number of autonomous agents, an efficient model of communication is required. This implies a need for a scalable and semantic infrastructure which allows: i) agents to be able to easily find each other and ii) semantic interoperability that refers to a common understanding of information communicated between agents. In this work information refers to an announced task. Different models of communication have been proposed, including broadcasting, forwarding, central server and group communication. Most of these approaches do not scale well in the context of massive MAS; when the number of agents grows. In additional, agent communication languages (ACLs), such as the KQML or FIPA ACL divide messages into several layers, and provide a specific syntax and semantics only for the outer layer, but its content is still arbitrary. To deal with these limitations, this paper extends our last task allocation method for massive MAS to shared space mechanism. This mechanism allows agents to find each by providing a logical shared space with temporal and special decoupling properties. To ensure semantic interoperability, we use a Task Ontology language (OWL-T) as a tuple space and a FIPA content message. OWL-T is based on the OWL for formally and semantically defining task in a high-level abstraction.",,978-1-4244-4519-6,10.1109/ICCSIT.2009.5234814,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5234814,Task Allocation;Massive Multi-Agents System;Communication;Shared space;Ontology;OWL-T,Multiagent systems;Autonomous agents;Ontologies;Web services;Statistical analysis;Information analysis;Context modeling;Broadcasting;Mechanical factors;OWL,,4.0,,37.0,IEEE,11 Sep 2009,,,IEEE,IEEE Conferences
ContTest – A Multi-agent System for Accounting Education,B. Patrut; S. E. Vârlan; T. Socaciu,"University of Bacău, Romania; University of Bacău, Romania; University of Bacău, Romania",2008 The Third International Multi-Conference on Computing in the Global Information Technology (iccgi 2008),8 Aug 2008,2008,,,217,222,"This paper represents a summary of a research report and the results of developing an educational software, including a multi-agent system for teaching accounting bases and financial accounting. The paper describes the structure of the multi-agent system, defined as a complex network of s-agents. Each s-agent contains 6 pedagogical agents and a coordinator agent. We have defined a new architecture (BeSGOTE) which extends the BDI (Beliefs, Desires, Intentions) architecture for intelligent agents and also a mixing-up relation among the accounts. We have presented both the way in which this mixing-up relation can be used for testing students and the way in which regular expressions can be used for representing accounting problems.",,978-0-7695-3275-2,10.1109/ICCGI.2008.17,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4591371,accounting education;multi-agent systems,Education;Multiagent systems;Computer architecture;Software;Testing;Intelligent agent;Computers,,1.0,,6.0,IEEE,8 Aug 2008,,,IEEE,IEEE Conferences
